seed,year,genre,family,emergenceYear,deathYear,singleOrientation,authoredBaseline,supply,retainedSupply,transitionSupply,floorSupply,unavailableIdentityTransitions,annualFloorRequested,annualFloorReroutes,albumCapacityReroutes,decisions,singleDecisions,albumDecisions,decisionSingleSharePct,orphanDecisions,standaloneDecisions,promoDecisions,fulfilledUnits,marketSharePct,backorders,backorderRatePct,unitsPerSupply,settlementSingleUnits,settlementAlbumUnits,settlementSingleSharePct,meanAcceptance,meanEligible,meanCharted,meanRadio
2007,1966,TeenPop,Pop,1957,1965,0.9,0.35,28,28,0,0,0,0,0,0,28,12,16,42.857142857142854,12,3,13,2077127,1.4341804485432017,700973,25.232101076275153,74183.10714285714,1579870,499962,75.96142380730751,0.4221437664835173,174.48076923076923,2.173076923076923,0.9959358846153842
2007,1966,TexMex,Latin,1959,,0.75,0.3,42,17,22,3,0,0,0,0,42,3,39,7.142857142857143,3,10,29,1537717,1.0617375137834646,27075,1.7302619134044652,36612.30952380953,1481930,57421,96.26979161997491,0.42425599450549534,55.30769230769231,0.7692307692307693,0.7609134587912084
2007,1966,TraditionalPop,Pop,1950,1971,0.45,0.4,269,198,68,3,0,0,0,0,267,68,199,25.46816479400749,68,65,134,31459733,21.7217984191575,5495743,14.871254804024172,116950.68029739778,25575158,5894682,81.26878941869421,0.4871437582417591,721.1730769230769,79.6923076923077,6.728098164835167
2007,1967,AcidRock,Rock,1966,1971,0.4,0.65,65,11,51,3,0,0,0,0,65,56,9,86.15384615384616,56,6,3,3886908,3.235389765609816,835253,17.687939907173856,59798.584615384614,3888404,0,100,0.8636864780219788,24.826923076923077,5.461538461538462,1.6076363214285707
2007,1967,BaroquePop,Pop,1966,1970,0.5,0.65,63,17,43,3,0,0,0,0,63,52,11,82.53968253968254,52,1,10,6341022,5.278148513498825,922202,12.696868498066424,100651.14285714286,6342539,0,100,0.779481467032968,30.846153846153847,7.019230769230769,2.3069112774725276
2007,1967,Blues,Blues,1945,,0.5,0.4,52,24,25,3,0,0,0,0,52,5,47,9.615384615384615,5,38,9,1162561,0.967694105776909,227417,16.36119420595146,22356.94230769231,601124,562056,51.67936174968621,0.5044212197802224,119.90384615384616,2.2115384615384617,0.32946634615384635
2007,1967,BluesRock,Rock,1966,,0.45,0.6,79,41,35,3,0,0,0,0,79,71,8,89.87341772151899,71,6,2,4836478,4.025794133228014,1028332,17.533935455709564,61221.240506329115,4838151,0,100,0.8416649587912091,32.69230769230769,6.115384615384615,2.4094172609890117
2007,1967,Boogaloo,Latin,1966,1969,0.7,0.4,25,3,19,3,0,0,0,0,24,2,22,8.333333333333334,2,18,4,334440,0.2783816218985751,11226,3.247643679158494,13377.6,256062,78905,76.44394820982366,0.3943497994505496,30.75,0.2692307692307692,0.15247996978021972
2007,1967,BossaNova,Jazz,1962,1967,0.45,0.3,16,6,7,3,0,0,0,0,16,16,0,100,16,0,0,600249,0.499636078707684,276420,31.530714557033498,37515.5625,601368,0,100,0.3538579670329678,7.884615384615385,0.8653846153846154,0.4228894395604395
2007,1967,BritishBeat,Rock,1963,1967,0.75,0.5,29,16,10,3,0,0,0,0,29,2,27,6.896551724137931,2,26,1,791735,0.6590254557285863,160541,16.858662824643275,27301.206896551725,482390,310235,60.85980129317142,0.5836252417582409,173.8846153846154,0.6153846153846154,0.25657084890109905
2007,1967,BritishBlues,Rock,1964,,0.65,0.65,91,52,36,3,0,0,0,0,89,12,77,13.48314606741573,12,76,1,1297346,1.079886627328157,328867,20.222873633404728,14256.54945054945,895091,402885,68.96052007124939,0.7812047582417586,162.48076923076923,1.3269230769230769,0.5066097445054945
2007,1967,BritishPop,Pop,1964,1968,0.8,0.55,76,36,37,3,0,0,0,0,76,3,73,3.9473684210526314,3,69,4,1387752,1.1551388965225196,289674,17.26895851143359,18259.894736842107,893026,495739,64.30360788182305,0.5963928626373605,234.23076923076923,1.4807692307692308,0.46307271978021913
2007,1967,Bubblegum,Pop,1967,1971,0.9,0.4,27,4,20,3,0,0,0,0,27,19,8,70.37037037037037,19,2,6,3180577,2.647453007514964,365457,10.306077155492586,117799.14814814815,3180998,0,100,0.6486549642857141,11.25,2.4038461538461537,0.6892328791208795
2007,1967,Childrens,NonMusic,1950,,0.3,0.35,50,25,22,3,0,0,0,0,50,4,46,8,4,43,3,374614,0.31182171063841896,27128,6.752592459837408,7492.28,146889,228258,39.15505121992179,0.4248647829670337,82.07692307692308,0.19230769230769232,0.13120842307692296
2007,1967,Classical,Classical,1945,,0.15,0.3,33,22,8,3,0,0,0,0,33,4,29,12.121212121212121,4,27,2,324329,0.2699654139718424,34147,9.525602829757084,9828.151515151516,147122,177584,45.309295177791604,0.3289514972527479,74.88461538461539,0.21153846153846154,0.08751236813186813
2007,1967,Comedy,NonMusic,1955,,0.15,0.35,49,31,15,3,0,0,0,0,49,3,46,6.122448979591836,3,41,5,404503,0.3367007570949628,125566,23.688614123821615,8255.163265306122,172806,232314,42.65550947867298,0.463288785714285,118.21153846153847,0.11538461538461539,0.16607739010989014
2007,1967,ContemporaryFolk,Folk,1961,1969,0.5,0.4,69,43,23,3,0,0,0,0,68,6,62,8.823529411764707,6,60,2,351367,0.2924713411722182,83386,19.18008616386776,5092.275362318841,135578,216239,38.53651187975567,0.5092375989011005,110.75,0.11538461538461539,0.17124252197802198
2007,1967,Country,Country,1950,,0.65,0.55,146,101,42,3,0,0,0,0,144,32,112,22.22222222222222,32,95,17,10246109,8.52867013984448,618447,5.692335701523375,70178.82876712328,7499066,2750923,73.16169802718812,0.7500914285714272,313.88461538461536,34.53846153846154,2.4710953214285722
2007,1967,CountryRock,Country,1968,,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3005478461538464,0,0,0
